Date,Adj Close,stock_demand,year,month,week,day,dayofweek,week_of_month,is_weekend
2011-01-31,10.259578,0.09736099999999936,2011,1,5,31,0,5,0
2011-02-01,10.43222,0.17264199999999974,2011,2,5,1,1,1,0
2011-02-02,10.410753,-0.02146699999999946,2011,2,5,2,2,1,0
2011-02-03,10.384149,-0.026603999999998962,2011,2,5,3,3,1,0
2011-02-04,10.476668,0.09251899999999935,2011,2,5,4,4,1,0
2011-02-07,10.639338,0.16267000000000031,2011,2,6,7,0,1,0
2011-02-08,10.739717,0.10037900000000022,2011,2,6,8,1,2,0
2011-02-09,10.829215,0.08949799999999897,2011,2,6,9,2,2,0
2011-02-10,10.719765,-0.10944999999999894,2011,2,6,10,3,2,0
2011-02-11,10.789606,0.06984099999999849,2011,2,6,11,4,2,0
2011-02-14,10.860058,0.07045200000000129,2011,2,7,14,0,2,0
2011-02-15,10.881828,0.021770000000000067,2011,2,7,15,1,3,0
2011-02-16,10.97949,0.0976619999999997,2011,2,7,16,2,3,0
2011-02-17,10.833452,-0.14603800000000078,2011,2,7,17,3,3,0
2011-02-18,10.599426,-0.23402600000000007,2011,2,7,18,4,3,0
2011-02-22,10.238111,-0.3613149999999994,2011,2,8,22,1,4,0
2011-02-23,10.359357,0.1212459999999993,2011,2,8,23,2,4,0
2011-02-24,10.367213,0.007856000000000307,2011,2,8,24,3,4,0
2011-02-25,10.526856,0.15964300000000087,2011,2,8,25,4,4,0
2011-02-28,10.679547,0.15269099999999902,2011,2,9,28,0,4,0
2011-03-01,10.561635,-0.11791199999999868,2011,3,9,1,1,1,0
2011-03-02,10.646591,0.08495600000000003,2011,3,9,2,2,1,0
2011-03-03,10.871549,0.2249579999999991,2011,3,9,3,3,1,0
2011-03-04,10.884851,0.013301999999999481,2011,3,9,4,4,1,0
2011-03-07,10.744557,-0.14029399999999903,2011,3,10,7,0,1,0
2011-03-08,10.75665,0.012093000000000131,2011,3,10,8,1,2,0
2011-03-09,10.657178,-0.09947200000000045,2011,3,10,9,2,2,0
2011-03-10,10.481807,-0.17537100000000017,2011,3,10,10,3,2,0
2011-03-11,10.642661,0.1608540000000005,2011,3,10,11,4,2,0
2011-03-14,10.690133,0.04747199999999907,2011,3,11,14,0,2,0
2011-03-15,10.444315,-0.24581799999999987,2011,3,11,15,1,3,0
2011-03-16,9.978082,-0.466232999999999,2011,3,11,16,2,3,0
2011-03-17,10.118074,0.13999199999999945,2011,3,11,17,3,3,0
2011-03-18,9.998037,-0.12003699999999995,2011,3,11,18,4,3,0
2011-03-21,10.258972,0.2609349999999999,2011,3,12,21,0,3,0
2011-03-22,10.316415,0.057442999999999245,2011,3,12,22,1,4,0
2011-03-23,10.255645,-0.06076999999999977,2011,3,12,23,2,4,0
2011-03-24,10.430408,0.17476300000000045,2011,3,12,24,3,4,0
2011-03-25,10.629059,0.1986509999999999,2011,3,12,25,4,4,0
2011-03-28,10.595798,-0.03326099999999954,2011,3,13,28,0,4,0
2011-03-29,10.61152,0.015722000000000236,2011,3,13,29,1,5,0
2011-03-30,10.541068,-0.07045200000000129,2011,3,13,30,2,5,0
2011-03-31,10.53744,-0.0036279999999990764,2011,3,13,31,3,5,0
2011-04-01,10.418014,-0.1194260000000007,2011,4,13,1,4,1,0
2011-04-04,10.316118,-0.10189599999999999,2011,4,14,4,0,1,0
2011-04-05,10.246576,-0.06954200000000021,2011,4,14,5,1,1,0
2011-04-06,10.220873,-0.02570300000000003,2011,4,14,6,2,1,0
2011-04-07,10.222086,0.0012129999999999086,2011,4,14,7,3,1,0
2011-04-08,10.130772,-0.09131399999999879,2011,4,14,8,4,2,0
2011-04-11,10.001968,-0.12880400000000058,2011,4,15,11,0,2,0
2011-04-12,10.050346,0.04837799999999959,2011,4,15,12,1,2,0
2011-04-13,10.163126,0.11278000000000077,2011,4,15,13,2,2,0
2011-04-14,10.050949,-0.11217700000000086,2011,4,15,14,3,2,0
2011-04-15,9.900981,-0.14996799999999944,2011,4,15,15,4,3,0
2011-04-18,10.033719,0.1327379999999998,2011,4,16,18,0,3,0
2011-04-19,10.215431,0.18171200000000098,2011,4,16,19,1,3,0
2011-04-20,10.353005,0.13757399999999897,2011,4,16,20,2,3,0
2011-04-21,10.603658,0.2506529999999998,2011,4,16,21,3,3,0
2011-04-25,10.673504,0.06984600000000007,2011,4,17,25,0,4,0
2011-04-26,10.595193,-0.07831099999999935,2011,4,17,26,1,4,0
2011-04-27,10.587032,-0.008160999999999419,2011,4,17,27,2,4,0
2011-04-28,10.484228,-0.10280400000000078,2011,4,17,28,3,4,0
2011-04-29,10.586427,0.1021990000000006,2011,4,17,29,4,5,0
2011-05-02,10.470018,-0.11640900000000087,2011,5,18,2,0,1,0
2011-05-03,10.528069,0.05805100000000074,2011,5,18,3,1,1,0
2011-05-04,10.569494,0.04142500000000027,2011,5,18,4,2,1,0
2011-05-05,10.484228,-0.08526600000000073,2011,5,18,5,3,1,0
2011-05-06,10.481505,-0.002722999999999587,2011,5,18,6,4,1,0
2011-05-09,10.509928,0.028423000000000087,2011,5,19,9,0,2,0
2011-05-10,10.565862,0.05593399999999882,2011,5,19,10,1,2,0
2011-05-11,10.498737,-0.06712499999999899,2011,5,19,11,2,2,0
2011-05-12,10.478786,-0.019951000000000718,2011,5,19,12,3,2,0
2011-05-13,10.295252,-0.18353399999999986,2011,5,19,13,4,2,0
2011-05-16,10.077559,-0.2176929999999988,2011,5,20,16,0,3,0
2011-05-17,10.163427,0.08586799999999961,2011,5,20,17,1,3,0
2011-05-18,10.276204,0.11277699999999946,2011,5,20,18,2,3,0
2011-05-19,10.296161,0.01995699999999978,2011,5,20,19,3,3,0
2011-05-20,10.135611,-0.16054999999999886,2011,5,20,20,4,3,0
2011-05-23,10.110816,-0.02479500000000101,2011,5,21,23,0,4,0
2011-05-24,10.043997,-0.06681900000000063,2011,5,21,24,1,4,0
2011-05-25,10.182776,0.13877900000000132,2011,5,21,25,2,4,0
2011-05-26,10.128957,-0.05381900000000073,2011,5,21,26,3,4,0
2011-05-27,10.201829,0.07287200000000027,2011,5,21,27,4,4,0
2011-05-31,10.516884,0.3150549999999992,2011,5,22,31,1,5,0
2011-06-01,10.446733,-0.07015099999999919,2011,6,22,1,2,1,0
2011-06-02,10.464573,0.017839999999999634,2011,6,22,2,3,1,0
2011-06-03,10.384149,-0.08042399999999894,2011,6,22,3,4,1,0
2011-06-06,10.220873,-0.16327600000000153,2011,6,23,6,0,1,0
2011-06-07,10.039461,-0.1814119999999999,2011,6,23,7,1,1,0
2011-06-08,10.045508,0.00604700000000058,2011,6,23,8,2,2,0
